epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_aux,train/loss_ce,train/loss_ce_aux,train/loss_giou,train/loss_giou_aux,train/loss_mask_ce,train/loss_mask_ce_aux,train/loss_mask_dice,train/loss_mask_dice_aux,train/lr,train/lr_max,train/lr_min,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAP_75,val/ema_mAR,val/ema_segm_mAP_50,val/ema_segm_mAP_50_95,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall,val/segm_mAP_50,val/segm_mAP_50_95
0,49,,,,,,,,,,,,,,,,,,5.7309942349093035e-05,5.7309942349093035e-05,6.175268651986698e-08,,,,,,,,,,,,,,,
0,99,,,,,,,,,,,,,,,,,,0.00011578947305679321,0.00011578947305679321,1.2476563426844223e-07,,,,,,,,,,,,,,,
0,149,,,,,,,,,,,,,,,,,,0.0001742690074024722,0.0001742690074024722,1.8777858201701747e-07,,,,,,,,,,,,,,,
0,170,,,,,,,,,,,,,,,,,,,,,0.844711184501648,0.8956064581871033,0.7654407024383545,0.8693658113479614,0.9112359285354614,0.895444929599762,0.8296582102775574,0.8956064581871033,0.7654407024383545,0.8693658113479614,0.9112359285354614,0.7929577231407166,0.903691828250885,0.895444929599762,0.8296582102775574
0,170,10.993502616882324,2.8157894611358643,8.264781951904297,10.276477813720703,2.476933002471924,41.78606414794922,17.723421096801758,0.07813304662704468,0.42986956238746643,0.9936577081680298,4.177922248840332,0.17201468348503113,0.9032059907913208,0.0840214192867279,0.6133073568344116,0.0835513100028038,0.7913987040519714,,,,,,,,,,,,,,,,,,
1,199,,,,,,,,,,,,,,,,,,0.00019999865617137402,0.00019999865617137402,2.1550282269799936e-07,,,,,,,,,,,,,,,
1,249,,,,,,,,,,,,,,,,,,0.0001999895175686106,0.0001999895175686106,2.1549298878653644e-07,,,,,,,,,,,,,,,
1,299,,,,,,,,,,,,,,,,,,0.00019997179333586246,0.00019997179333586246,2.154738751869445e-07,,,,,,,,,,,,,,,
1,341,,,,,,,,,,,,,,,,,,,,,0.9198443293571472,0.9593425989151001,0.8561993837356567,0.9479221105575562,0.9372391700744629,0.9593425989151001,0.9065915942192078,0.9593425989151001,0.8561993837356567,0.9479221105575562,0.9372391700744629,0.8927492499351501,0.9486356377601624,0.9593425989151001,0.9065915942192078
1,341,27.14197540283203,11.179337501525879,23.291748046875,26.262508392333984,4.661793231964111,0.08110912144184113,10.232255935668945,0.0618315227329731,0.2635805904865265,0.6574253439903259,3.5491349697113037,0.1380569189786911,0.5968843698501587,0.04970727488398552,0.2407601773738861,0.04797542840242386,0.24730747938156128,,,,,,,,,,,,,,,,,,
2,349,,,,,,,,,,,,,,,,,,0.00019994545436929911,0.00019994545436929911,2.1544549611007824e-07,,,,,,,,,,,,,,,
2,399,,,,,,,,,,,,,,,,,,0.00019991050066892058,0.00019991050066892058,2.1540783734508295e-07,,,,,,,,,,,,,,,
2,449,,,,,,,,,,,,,,,,,,0.0001998669613385573,0.0001998669613385573,2.1536091310281336e-07,,,,,,,,,,,,,,,
2,499,,,,,,,,,,,,,,,,,,0.00019981480727437884,0.00019981480727437884,2.1530473759412416e-07,,,,,,,,,,,,,,,
